Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, head, mind
Topic 555 (0.00): lord, lords, noble, learned, friend, house, speech, chancellor, lordship, opinion
Topic 1265 (0.00): condition, fender, bass, guitar, excellent, watt, combo, mint, amp, immaculate
Topic 522 (0.00): nuisance, odour, health, local, public, odours, authority, act, abatement, premises
Topic 270 (0.00): school, goldsmiths, company, master, appointed, grammar, governors, boys, headmaster, time
Topic 1190 (0.00): doctor, looked, time, spike, planet, shouted, walked, stood, replied, body
Topic 656 (0.00): card, cards, credit, finch, visa, trump, express, access, time, switch
Topic 13 (0.00): residents, staff, care, home, resident, people, person, incontinence, assistant, clients
Topic 884 (0.00): captain, midnight, silver, brigadier, substitute, marshal, time, ship, doctor, thee
Topic 249 (0.00): future, forecasts, forecasting, forecast, trends, sales, techniques, market, predict, projections
Topic 103 (0.00): mind, creatures, creature, subtle, physical, mental, human, species, nature, perception
Topic 365 (0.00): ken, pat, told, carry, time, people, apricot, called, series, rogers
Topic 747 (0.00): children, panel, social, parents, department, hearing, islands, families, reporter, time
Topic 376 (0.00): bell, clock, bells, alarm, ringing, rang, ring, time, clocks, church
Topic 375 (0.00): sexual, social, relationships, worker, child, sexuality, effect, experience, sex, activity
Topic 254 (0.00): police, social, world, real, research, institution, uniform, system, insider, detective
Topic 507 (0.00): hazel, fiver, bigwig, rabbit, rabbits, warren, blackberry, grass, time, cowslip
Topic 1232 (0.00): line, lines, dividing, straight, drawn, half, parallel, dotted, draw, direction
Topic 1131 (0.00): exposure, conditions, light, measurements, card, reference, stability, leaf, illumination, growth
Topic 518 (0.00): army, corps, gen, forces, eighth, soviet, surrendered, surrender, signal, force
Topic 460 (0.00): security, information, national, warrant, home, official, warrants, secretary, surveillance, services
Topic 1243 (0.00): tribunal, tribunals, representation, appeal, adjudication, decision, procedure, hearing, industrial, parties
Topic 981 (0.00): safe, dangerous, danger, risk, time, bald, harm, safety, lose, security
Topic 263 (0.00): rugs, rug, items, weaving, designs, design, quality, nomadic, village, workshop
Topic 897 (0.00): ted, train, line, bridge, box, signal, railway, driver, strange, engine
Topic 853 (0.00): ski, skiing, snow, skiers, skis, slopes, slope, resorts, mountain, alpine
Topic 614 (0.00): activity, activities, time, active, level, practice, person, range, form, concerned
Topic 751 (0.00): tale, dame, wife, miller, tales, character, monk, characters, clerk, text
Topic 1088 (0.00): leisure, popular, activities, people, entertainment, industry, social, holiday, movies, mass
Topic 1071 (0.00): customs, officers, smuggling, cutter, cutters, time, officer, found, excise, sea
Topic 42 (0.00): moon, time, life, sign, month, sun, astrology, chart, financial, personal
Topic 1213 (0.00): tip, rare, occasions, iceberg, rarely, occasional, difficult, regular, common, extremely
Topic 99 (0.00): matt, aunt, voice, words, ling, office, bush, time, barbecue, table
Topic 559 (0.00): claim, claims, claimant, procedure, proof, pursuer, time, settlement, obtained, party
Topic 426 (0.00): document, signature, signed, register, paragraph, transfer, deceased, steed, building, rectification
Topic 1415 (0.00): mother, eve, sister, convent, nuns, nun, child, father, sisters, time
Topic 1097 (0.00): free, freedom, liberty, mar, choose, time, act, independence, restrictions, space
Topic 454 (0.00): square, metres, metre, exercise, fraction, triangle, length, angles, answer, measurement
Topic 271 (0.00): law, judges, legal, political, people, integrity, community, decisions, convention, past
Topic 1444 (0.00): society, building, report, valuation, surveyor, societies, survey, valuations, surveyors, structural
Topic 26 (0.00): bet, betting, money, gambling, win, racing, lottery, odds, levy, pools
Topic 1318 (0.00): gender, language, masculine, feminine, women, male, sex, sexist, feminists, female
Topic 173 (0.00): hypnosis, regression, time, patient, therapy, mind, session, subconscious, life, person
Topic 380 (0.00): common, sense, shared, share, denominator, ground, similar, time, features, existence
Topic 1117 (0.00): pupils, vision, visual, visually, pupil, handicapped, children, child, teacher, sight
Topic 1033 (0.00): jimmy, storm, wall, door, hell, lightning, office, floor, windows, reception
Topic 1413 (0.00): tony, time, villa, round, told, tumbleweed, yer, bland, aunt, wood
Topic 865 (0.00): positive, negative, false, positively, attitude, difference, negatively, comments, lack, time
Topic 1067 (0.00): polish, poles, solidarity, city, east, economic, league, free, industrial, time
Topic 60 (0.00): park, car, parks, parking, euro, theme, visitors, people, magic, national
Topic 840 (0.00): causal, effect, circumstance, connection, effects, occurred, events, true, circumstances, conditions
Topic 565 (0.00): flag, flags, red, union, national, stripes, stars, white, anthem, flying
Topic 1272 (0.00): programme, programmes, solution, oral, chapter, study, mothers, found, success, therapy
Topic 1205 (0.00): type, types, main, found, form, forms, time, model, significant, range
Topic 663 (0.00): rational, reason, rationality, enlightenment, science, modern, irrational, modernity, philosophy, individual
Topic 157 (0.00): chart, graph, charts, time, graphs, diagram, bar, line, information, job
Topic 363 (0.00): body, bodies, human, bodily, governing, figure, means, mass, organs, drawing
Topic 990 (0.00): memory, arousal, driving, studies, situations, recall, performance, task, memories, subjects
Topic 118 (0.00): field, modular, students, student, fields, modules, module, polytechnic, academic, staff
Topic 478 (0.00): joy, happy, happiness, life, love, people, pleasure, time, feelings, emotions
Topic 1106 (0.00): bull, senator, chuck, jungle, boy, rice, buffalo, father, moi, moment
Topic 710 (0.00): pattern, design, patterns, colour, screen, squares, program, stitch, colours, garment
Topic 760 (0.00): swan, party, conference, hyacinth, sir, hotel, john, grand, chairman, archer
Topic 569 (0.00): alien, strange, odd, time, experience, extraordinary, curious, phenomenon, nature, aliens
Topic 1064 (0.00): repeat, leg, times, stretch, thigh, raise, forwards, tummy, holding, relax
Topic 49 (0.00): movement, movements, action, time, established, free, struggle, unity, separate, main
Topic 551 (0.00): sir, rose, prince, dickens, inspector, poison, lord, table, miss, time
Topic 312 (0.00): shell, shells, snail, species, snails, size, found, prey, growth, feeding
Topic 773 (0.00): hector, aye, lass, father, clan, lad, lady, mother, son, set
Topic 1331 (0.00): dawn, practice, looked, surgery, vet, paused, veterinary, added, stopped, round
Topic 22 (0.00): archdeacon, gray, bishop, canon, dean, inspector, church, spruce, cathedral, clergy
Topic 521 (0.00): sentence, sentences, context, passage, subjects, word, syntactic, words, information, processing
Topic 1384 (0.00): carol, fucking, hitch, looked, fuck, told, porter, hand, smiled, kill
Topic 400 (0.00): losses, insurance, business, underwriting, quarter, market, loss, claims, profit, premiums
Topic 907 (0.00): service, court, served, committal, summons, form, document, notice, post, copy
Topic 787 (0.00): wave, waves, surfing, beach, surfers, surf, werewolf, shore, board, pipeline
Topic 670 (0.00): medical, doctors, training, consultants, house, senior, time, consultant, junior, teaching
Topic 830 (0.00): section, court, transaction, person, party, subsection, transactions, concerned, contravention, sections
Topic 1451 (0.00): lifeboat, rescue, crew, institution, station, service, lifeboats, sea, search, boat
Topic 493 (0.00): colonel, hope, colt, daughter, lake, time, sir, wood, miss, father
Topic 1454 (0.00): secretary, sentence, life, tariff, prisoner, review, period, release, parole, home
Topic 302 (0.00): trade, offence, consumer, section, false, trading, advertisement, act, description, trader
Topic 560 (0.00): brownies, brownie, pack, owl, fielding, daddy, guides, penny, guide, mummy
Topic 1240 (0.00): strategy, strategies, game, player, tit, tat, defect, optimal, equilibrium, players
Topic 548 (0.00): position, positions, taking, move, time, consequence, situation, advantage, left, means
Topic 986 (0.00): patient, physiotherapist, rehabilitation, treatment, balance, walking, therapist, control, movements, carer
Topic 870 (0.00): max, dictionary, entries, entry, text, system, supplement, lexicographers, main, dictionaries
Topic 1121 (0.00): palace, league, cup, division, appearances, fa, season, football, crystal, goals
Topic 606 (0.00): board, circuit, components, artwork, light, layout, copper, box, component, circuits
Topic 484 (0.00): teeth, dental, dentist, mouth, tooth, dentists, fluoride, jaw, gums, gum
Topic 1417 (0.00): solution, optimal, tableau, objective, variables, row, constraint, function, basic, section
Topic 933 (0.00): bill, bills, time, pay, provisions, reading, measure, introduced, drawn, house
Topic 662 (0.00): seat, chair, seats, belt, front, sit, chairs, belts, rear, car
Topic 357 (0.00): box, boxes, cardboard, lid, tick, chocolates, time, black, inside, wooden
Topic 1102 (0.00): loss, lost, losses, lose, suffered, time, gains, losing, suffer, means
Topic 492 (0.00): ring, rings, lord, evil, story, merry, characters, modern, time, elves
Topic 223 (0.00): science, scientific, nature, religion, religious, earth, natural, universe, motion, system
Topic 1305 (0.00): dragon, dragons, wizard, magic, time, gold, looked, sword, luggage, weasel
Topic 284 (0.00): cake, icing, cakes, chocolate, marzipan, top, paper, cut, dry, royal
Topic 1024 (0.00): statements, statement, meaning, sentences, true, belief, attitude, sentence, theory, ethical
Topic 297 (0.00): form, forms, content, time, words, terms, reference, fill, set, short
Topic 1216 (0.00): person, game, children, circle, round, party, child, trick, people, time
Topic 1270 (0.00): grant, angel, prophet, enemy, sect, night, rocky, time, oriental, shotgun
Topic 961 (0.00): names, called, surnames, named, nomenclature, surname, naming, john, christian, common
Topic 1440 (0.00): mike, bailey, ace, replied, job, team, ash, told, time, left
Topic 1045 (0.00): separate, separation, split, single, isolation, separated, separately, divided, time, splitting
Topic 1446 (0.00): space, empty, spaces, time, filled, move, storage, left, separate, oddity
Topic 936 (0.00): lily, daisy, drew, polo, pony, ponies, angel, randy, dancer, play
Topic 1322 (0.00): butler, father, lordship, gentlemen, gentleman, hall, time, miss, sir, days
Topic 1040 (0.00): charity, gift, charities, charitable, gifts, giving, covenant, aid, donor, donations
Topic 289 (0.00): language, student, drills, drill, helper, teacher, learning, words, items, sentence
Topic 176 (0.00): march, held, days, month, announced, time, months, representative, times, release
Topic 52 (0.00): social, implicit, representations, representation, prejudice, attitudes, explicit, rhetorical, historical, modern
Topic 1288 (0.00): branch, branches, mums, local, recruitment, newsletter, support, meetings, contact, committee
Topic 807 (0.00): home, care, support, development, project, clients, action, officer, control, sample
Topic 852 (0.00): influence, pressure, influences, strong, exerted, powerful, exert, pressures, strength, time
Topic 239 (0.00): ayatollah, religious, fundamentalism, satanic, verses, revolution, political, west, gulf, mosque
Topic 532 (0.00): desire, pleasure, desires, pain, boon, mills, satisfaction, romance, action, happiness
Topic 326 (0.00): ham, west, labour, cooperative, alliance, guild, political, local, cooperation, council
Topic 31 (0.00): model, pitch, helicopter, rotor, speed, tail, blades, forward, rotors, cyclic
Topic 1267 (0.00): link, chain, links, chains, linked, network, linking, connections, connection, connected
Topic 1202 (0.00): mask, masks, ship, steel, grant, silk, deck, creature, time, moved
Topic 903 (0.00): bees, bee, flowers, pollen, food, honey, wasp, flower, hive, dance
Topic 1475 (0.00): smith, john, time, smiths, left, brown, real, total, tony, deputy
Topic 1209 (0.00): truth, means, life, nature, absolute, principle, action, sense, god, form
Topic 248 (0.00): green, pike, greens, planet, church, mum, earth, spiritualist, dad, aliens
Topic 1342 (0.00): top, bottom, left, ten, middle, line, time, lower, position, corner
Topic 1409 (0.00): uncle, gravity, dick, space, light, round, hole, time, straight, beetles
Topic 1032 (0.00): roach, peg, maggot, anglers, match, fish, canal, bridge, bream, angling
Topic 48 (0.00): code, codes, practice, coding, assembly, source, time, binary, insignia, read
Topic 1189 (0.00): block, blocks, tower, flats, building, built, apartment, flat, floor, canary
Topic 1160 (0.00): censorship, obscene, public, library, obscenity, libraries, material, act, association, local
Topic 425 (0.00): column, table, row, columns, spreadsheet, tables, rows, range, data, sum
Topic 128 (0.00): welsh, walker, office, secretary, national, development, valleys, hunt, bay, south
Topic 1042 (0.00): people, government, lineage, image, peace, lineages, tribe, shaikhs, shaikh, quarrels
Topic 34 (0.00): possessed, punishment, crime, ad, murder, notebooks, underground, suicide, life, novelist
Topic 690 (0.00): arms, badge, coat, regiment, white, worn, royal, cap, gold, red
Topic 1449 (0.00): force, forces, task, weak, strong, driving, attraction, pull, time, powerful
Topic 1306 (0.00): pain, sensation, sensations, resemblance, bear, white, meaning, teddy, feeling, question
Topic 192 (0.00): memory, synthesis, protein, biochemical, brain, learning, training, chick, proteins, synapses
Topic 1070 (0.00): probability, probabilities, chance, random, theory, odds, outcome, origin, assume, improbable
Topic 320 (0.00): joint, venture, ventures, firms, collaboration, spillovers, cooperative, share, set, projects
Topic 389 (0.00): bed, beds, double, bedroom, mattress, single, sheets, linen, duvet, springs
Topic 428 (0.00): stretch, times, arms, recipe, steps, page, served, yogurt, jog, record
Topic 1360 (0.00): mark, marks, trade, dew, sister, daisy, brand, marking, registration, time
Topic 30 (0.00): blind, sight, touch, sense, vision, hearing, smell, eyes, eye, senses
Topic 567 (0.00): description, buyer, purpose, quality, sale, contract, implied, condition, seller, sample
Topic 586 (0.00): primary, secondary, tertiary, prevention, primaries, stage, system, direct, stages, level
Topic 318 (0.00): nutty, nails, bean, jazz, biddy, swimming, team, time, firelight, bones
Topic 1374 (0.00): radiator, window, power, double, road, property, rear, cupboard, gas, access
Topic 1445 (0.00): century, assembly, city, spartan, king, war, fourth, peace, cities, called
Topic 1036 (0.00): collector, time, hall, magistrate, padre, garrison, residency, cholera, banqueting, harry
Topic 1293 (0.00): army, salvation, burrows, jeopardy, people, corps, time, officers, life, amber
Topic 904 (0.00): mason, pageant, angel, god, play, boy, stage, wagon, father, cart
Topic 1046 (0.00): travellers, caravan, police, site, gypsies, caravans, local, people, gypsy, festival
Topic 503 (0.00): teacher, program, pupils, teaching, unit, teachers, material, pupil, designer, computer
Topic 1437 (0.00): formal, informal, meetings, time, formally, informally, procedures, networks, extent, style
Topic 1366 (0.00): diving, dive, underwater, divers, depth, diver, water, time, surface, air
Topic 828 (0.00): ma, monster, pa, corrie, foundling, time, pigeon, head, father, hospital
Topic 1228 (0.00): mould, headmaster, time, school, day, corridors, replied, matron, shouted, teachers
Topic 1138 (0.00): rogers, plane, adjutant, squadron, blunt, planes, pilot, enemy, bloody, church
Topic 821 (0.00): balance, equilibrium, balanced, weight, time, balancing, means, maintain, equal, imbalance
Topic 740 (0.00): folly, hunter, flowers, voice, lion, miss, business, time, bowl, roses
Topic 698 (0.00): virgin, pistols, company, sex, record, fields, draper, industry, sting, records
Topic 1290 (0.00): bob, john, eddy, poor, time, god, round, hand, office, cigarette
Topic 991 (0.00): canoe, water, paddle, canoeing, paddling, boat, slalom, kayak, strokes, boats
Topic 1436 (0.00): economy, production, accumulation, law, economic, socialist, period, soviet, equilibrium, development
Topic 92 (0.00): offline, item, media, items, system, lifespan, time, manager, option, operator
Topic 155 (0.00): message, messages, mail, read, send, time, printed, received, electronic, sending
Topic 430 (0.00): vines, champagne, vine, vineyards, village, slopes, wines, grapes, metres, vineyard
Topic 1049 (0.00): lift, ladder, left, crate, collect, climb, fall, jump, top, lifts
Topic 1151 (0.00): change, form, computer, procedure, manager, tape, date, completed, report, request
Topic 1411 (0.00): premises, visitor, occupier, duty, person, trespasser, reasonable, care, visitors, act
Topic 1223 (0.00): half, hour, quarter, time, fear, talk, dozen, hours, job, past
Topic 928 (0.00): version, versions, narrative, text, story, original, sequence, sentence, comparison, final
Topic 754 (0.00): partly, reputation, time, due, popular, difficulty, success, complete, idea, remembered
Topic 1441 (0.00): dean, hopper, jack, film, easy, time, rider, movie, rebel, western
Topic 937 (0.00): riven, bicker, hills, gnomes, horses, eyes, people, giants, sword, dark
Topic 373 (0.00): ice, chocolate, cream, bar, rink, mars, cocoa, hockey, bars, skating
Topic 994 (0.00): bread, baker, loaf, bakery, loaves, cakes, baking, bakers, butter, baked
Topic 814 (0.00): awareness, aware, spontaneous, viewpoints, means, choice, moved, imperative, viewpoint, situation
Topic 288 (0.00): bar, court, judges, inns, barrister, barristers, law, inn, chambers, jurisdiction
Topic 856 (0.00): guide, answer, cost, business, asset, profit, costs, question, future, sales
Topic 1148 (0.00): days, day, time, period, weeks, months, month, week, count, waiting
Topic 187 (0.00): genuine, fake, counterfeit, original, standards, authenticity, trading, forgeries, forged, fakes
Topic 906 (0.00): doc, dead, hawk, elder, girl, days, wally, jitters, town, time
Topic 761 (0.00): internal, external, internally, externally, control, organization, situation, function, terms, sources
Topic 955 (0.00): red, cross, white, tape, green, time, black, scarlet, lion, herring
Topic 577 (0.00): effort, rewards, reward, satisfaction, performance, job, motivation, drawing, direction, time
Topic 496 (0.00): ti, aah, lamb, farm, father, mother, bob, looked, aye, lass
Topic 1230 (0.00): hall, halls, town, time, exhibition, people, comments, church, home, talk
Topic 461 (0.00): mark, plan, plant, peters, corporation, united, motors, steward, sanders, replied
Topic 1245 (0.00): habit, habits, bad, anxiety, learn, people, behaviour, time, anxious, eat
Topic 768 (0.00): victor, rune, time, monster, price, creature, hotel, beneath, knowledge, female
Topic 464 (0.00): forest, friar, sack, leader, thin, horses, crane, time, smoke, unicorn
Topic 473 (0.00): speaker, time, person, utterance, pronouns, languages, reference, addressee, location, situation
Topic 335 (0.00): notice, representative, person, rules, intervention, appeal, appointed, board, union, business
Topic 1399 (0.00): ship, time, planet, curb, emissary, told, cabin, security, ships, human
Topic 1180 (0.00): ray, jazz, blues, album, charlie, playing, quartet, drums, alto, bass
Topic 753 (0.00): kids, kid, round, gang, time, school, street, people, children, lot
Topic 1175 (0.00): pound, poetry, cantos, canto, poet, poem, verse, time, poets, instance
Topic 405 (0.00): looked, time, body, compound, city, girl, found, scribe, palace, left
Topic 854 (0.00): division, divisions, labour, transfer, divisional, enterprise, divided, separate, form, time
Topic 654 (0.00): key, keys, lock, keyboard, pic, handle, door, spectrum, iron, lever
Topic 694 (0.00): magnetic, sun, field, compass, earth, pole, sense, pigeons, north, direction
Topic 514 (0.00): revenue, taxpayer, commissioners, commissioner, inland, profits, angelica, tax, business, carried
Topic 742 (0.00): base, bases, military, facilities, naval, air, bay, access, presence, united
Topic 784 (0.00): rumours, rumour, speculation, gossip, heard, time, stories, spread, fears, half
Topic 169 (0.00): variables, variable, effect, causal, relationship, figure, law, proportions, people, break
Topic 1495 (0.00): pieces, piece, puzzle, cube, jigsaw, found, edges, time, positions, moves
Topic 1485 (0.00): flora, topaz, piers, marquis, kitty, girl, honor, time, husband, god
Topic 1387 (0.00): lipstick, colour, eyes, powder, mascara, beauty, eye, skin, lips, foundation
Topic 1023 (0.00): option, options, price, exercise, share, call, profit, contracts, written, shares
Topic 1371 (0.00): christian, tom, melody, gipsy, farm, forest, manor, cottage, putt, dolly
Topic 101 (0.00): frank, time, guess, mothers, couple, series, started, document, fellow, head
Topic 683 (0.00): ember, friend, meanings, blue, time, mind, inside, woman, mars, imminence
Topic 1236 (0.00): bunny, cork, asbestos, dotty, dump, grace, factory, harbour, potter, dawn
Topic 837 (0.00): jump, parachute, jumping, chute, drop, time, parachutes, jumps, air, landing
Topic 1003 (0.00): reaction, chain, amplification, primers, products, samples, single, sequencing, sample, specific
Topic 260 (0.00): market, competition, competitive, resource, process, opportunity, opportunities, entrepreneurial, competitors, decisions
Topic 361 (0.00): gap, gaps, filled, fill, barrier, time, junctions, filling, tight, bridge
Topic 450 (0.00): target, targets, set, time, progress, aim, strategy, reduction, setting, targeted
Topic 764 (0.00): program, form, laws, process, normal, programs, variables, finite, processes, variable
Topic 1125 (0.00): fen, cabin, gypsy, water, boat, time, told, galley, bunk, stay
Topic 1031 (0.00): rainbow, time, warrior, taxi, aunt, eye, rainbows, rabbi, wait, dyke
Topic 1203 (0.00): ha, dog, sergeant, uncle, hedgehog, water, time, vole, ducks, beast
Topic 1022 (0.00): martin, time, harry, mick, martins, chase, bye, roger, brothers, feeling
Topic 707 (0.00): probes, probe, clones, orbits, trajectories, set, map, equations, heater, strange
Topic 1128 (0.00): ward, ah, ye, iris, time, nodded, suddenly, fur, hell, moment
Topic 589 (0.00): data, figure, log, values, line, smooth, transformation, smoothing, curve, fit
Topic 332 (0.00): page, pages, insert, printed, details, time, road, comment, cover, covers
Topic 909 (0.00): bishop, railway, castle, tickets, line, arms, craven, ticket, junction, plans
Topic 992 (0.00): lavender, gaily, faith, sister, woman, ma, friend, miss, mind, cat
Topic 1499 (0.00): iris, rose, dieter, jack, tricks, magic, hand, trick, spades, dummy
Topic 718 (0.00): child, return, children, court, mother, article, convention, father, custody, judge
Topic 1026 (0.00): head, tail, heads, tails, body, neck, length, time, skull, circumference
Topic 509 (0.00): dot, dear, baby, people, loopy, time, brown, nice, children, pet
Topic 91 (0.00): van, den, time, transit, driver, city, vans, called, tan, coypu
Topic 562 (0.00): toad, frogs, toads, water, pond, tadpoles, frog, amphibians, skin, desert
Topic 211 (0.00): action, check, hammer, actions, stein, piano, pianos, key, player, checks
Topic 315 (0.00): badgers, badger, animals, hedgehogs, hedgehog, foxes, wildlife, sett, fox, animal
Topic 1304 (0.00): arrow, bow, don, arrows, archers, archer, blue, shoot, bows, target
Topic 340 (0.00): brown, time, team, john, swamp, shorter, white, explained, short, remaining
Topic 862 (0.00): threat, threats, violence, blackmail, force, demand, coercion, fear, threatened, posed
Topic 1048 (0.00): boots, leather, boot, sole, walking, feet, comfortable, lining, crampons, straps
Topic 542 (0.00): barney, iris, rick, police, afternoon, time, class, poor, round, ken
Topic 919 (0.00): school, education, section, governors, preference, admission, parental, admissions, criteria, committee
Topic 1317 (0.00): rate, rates, forward, spot, exchange, future, market, expected, risk, sweat
Topic 278 (0.00): phase, phases, transition, bravo, final, time, normal, separation, cycle, divided
Topic 988 (0.00): mad, madness, insane, insanity, reason, time, sane, asylum, lunatic, mental
Topic 203 (0.00): scale, scales, economies, level, shape, shapes, scope, involved, interval, move
Topic 858 (0.00): player, hamlet, pause, coin, heads, king, tragedians, upstage, dead, death
Topic 894 (0.00): plural, reference, interpretation, representation, singular, schema, mapping, schemata, description, continuations
Topic 975 (0.00): mice, rats, rat, mouse, animals, mutant, cage, cages, time, health
Topic 1052 (0.00): crisis, crises, system, penal, account, legitimacy, collapse, riots, orthodox, conditions
Topic 1110 (0.00): teachers, school, attitudes, review, schools, scheme, booklet, secondary, positive, report
Topic 868 (0.00): instruments, instrument, harpsichord, musical, rue, makers, organ, martin, time, draft
Topic 179 (0.00): skinhead, skins, skinheads, style, mods, youth, teds, teddy, boots, class
Topic 202 (0.00): motivation, low, pay, morale, lack, performance, job, time, feel, security
Topic 479 (0.00): gentle, chant, time, assassin, marlin, pie, dominion, replied, street, tonight
Topic 126 (0.00): recognition, government, republic, interim, united, control, foreign, country, republics, status
Topic 321 (0.00): green, thrush, dotty, rector, lulling, dear, time, house, miss, curdle
Topic 4 (0.00): flow, flows, flowing, current, deep, stream, ebb, streams, time, rate
Topic 1282 (0.00): fax, machine, machines, modem, software, send, faxes, phone, modems, facsimile
Topic 864 (0.00): patients, colitis, pouch, operation, disease, bowel, restorative, pelvic, indeterminate, features
Topic 1041 (0.00): set, sets, elements, items, table, deviance, write, element, required, complete
Topic 510 (0.00): trolley, shopping, supermarket, queue, barrow, trolleys, front, time, shelf, push
Topic 568 (0.00): air, balloon, balloons, hot, airship, flight, gas, tyre, airships, flying
Topic 709 (0.00): tax, companies, offshore, company, havens, foreign, holding, international, profits, haven
Topic 635 (0.00): twins, twin, roman, identical, pairs, genetic, concordance, healthy, pair, time
Topic 687 (0.00): autonomy, person, autonomous, means, desires, argued, freedom, relation, treated, action
Topic 696 (0.00): children, mode, explanations, task, deductive, causal, linguistic, temporal, empirical, sentence
Topic 729 (0.00): telephone, call, conversation, tape, lab, tapes, conversations, calls, phone, customers
Topic 689 (0.00): clause, clauses, effect, subordinate, main, subject, condition, relative, position, time
Topic 384 (0.00): pip, dickens, miss, biddy, gentleman, expectations, characters, convict, forge, character
Topic 516 (0.00): angel, angels, parson, time, church, people, dairy, mind, cows, archangel
Topic 843 (0.00): rob, heather, evening, time, moment, office, flat, party, cottage, murmured
Topic 913 (0.00): ash, earthquake, earthquakes, building, quake, buildings, seismic, ground, magnitude, engineers
Topic 846 (0.00): attendance, pupils, truancy, school, schools, absent, absence, parents, staff, absenteeism
Topic 725 (0.00): basil, lord, gray, picture, art, riding, west, vane, harry, portrait
Topic 1233 (0.00): boss, hit, hard, time, tough, bosses, bullying, times, hand, sly
Topic 1328 (0.00): federal, forum, civic, republic, democratic, movement, lands, communist, christian, people
Topic 735 (0.00): tug, woman, people, dale, gun, family, time, voice, hank, boy
Topic 1383 (0.00): hill, para, time, top, curry, sunny, rowan, travel, previous, handy
Topic 154 (0.00): insurance, policy, accident, office, nuclear, loss, liability, service, matter, premium
Topic 708 (0.00): tube, tubes, ear, hearing, children, glue, fluid, operation, time, ears
Topic 888 (0.00): kit, garage, garages, stockade, islanders, settlement, decoy, ship, cedar, time
Topic 121 (0.00): capacity, plant, time, individual, maximum, excess, plants, spare, expansion, process
Topic 573 (0.00): mouse, fox, wolf, mickey, buttons, boy, bachelor, time, button, blow
Topic 634 (0.00): fat, controller, time, cliff, caravan, form, world, opium, top, flesh
Topic 412 (0.00): television, genre, genres, generic, difference, parody, forms, narrative, cinema, theory
Topic 67 (0.00): time, spare, cam, life, writing, valuable, reports, monkey, finding, spent
Topic 1116 (0.00): carter, jimmy, president, jack, house, time, carters, outsider, operation, captain
Topic 1080 (0.00): passive, cooper, active, voice, actor, agent, subject, edges, action, leave
Topic 842 (0.00): robot, robots, star, computer, animals, humans, zoo, spaceship, buff, animal
Topic 1369 (0.00): call, calls, butcher, response, calling, beck, time, called, routine, alarm
Topic 235 (0.00): major, minor, key, keys, movements, mode, air, cantatas, chord, flat
Topic 748 (0.00): parsons, knight, oxford, time, armour, carter, fart, true, accept, theory
Topic 142 (0.00): gran, josh, grandmother, cup, time, brotherhood, crazy, hills, father, lass
Topic 688 (0.00): string, strings, tennis, racket, tension, conker, technology, frame, rackets, system
Topic 811 (0.00): sheila, frog, girls, magician, time, puddle, frogs, school, dick, pupils
Topic 208 (0.00): fog, mist, time, dense, thick, foggy, moment, fogs, visible, evening
Topic 71 (0.00): ford, jaguar, car, sierra, escort, company, fiesta, time, motor, golden
Topic 210 (0.00): grand, met, giants, bay, coach, horn, raiders, bowl, city, hermitage
Topic 668 (0.00): robin, hood, people, time, bump, riding, day, collage, sheriff, sitting
Topic 1406 (0.00): continue, time, grow, level, clement, tendency, continued, resources, changing, base
Topic 1448 (0.00): salt, dick, time, people, rubbed, pepper, sea, found, pinch, kangaroo
Topic 1486 (0.00): deposit, deposits, assignment, institution, entitled, bank, depositor, compensation, depositors, person
Topic 502 (0.00): neutrality, neutral, principles, justice, conception, principle, political, doctrine, action, parties
Topic 605 (0.00): bicycle, forester, postman, time, wheel, handlebars, black, bicycles, days, break
Topic 752 (0.00): time, stringer, remains, remain, picture, happen, woolly, success, reservoir, conditions
Topic 325 (0.00): nail, nails, varnish, time, hands, polish, coffin, remover, cuticles, light
Topic 165 (0.00): chambers, chamber, commerce, provincial, gas, time, city, scooter, freshman, lout
Topic 131 (0.00): grade, absence, sickness, grades, low, rates, spells, short, health, differences
Topic 1385 (0.00): neighbours, neighbour, neighbourhood, time, day, boundary, street, door, neighbouring, people
Topic 951 (0.00): fort, wade, highlands, highland, worth, glen, sic, islands, mats, miles
Topic 356 (0.00): community, hart, beads, life, manhood, peaceful, moral, time, ideal, human
Topic 306 (0.00): hard, soft, singer, time, rogers, book, harder, option, hyphens, lost
Topic 1185 (0.00): stop, cuckoo, personal, operation, message, bird, contact, time, clearance, bloody
Topic 1456 (0.00): nan, grandad, titch, head, uncle, mum, auntie, time, embankment, called
Topic 39 (0.00): fall, falls, rise, time, falling, insignificance, tack, tee, pales, moment
Topic 1176 (0.00): conspiracy, front, national, pen, rhetoric, theory, argument, extreme, world, tradition
Topic 1393 (0.00): matter, subject, direct, character, passages, importance, enter, author, proceeding, time
Topic 1381 (0.00): appearance, appears, appearances, blue, attractive, sense, reason, unattractive, object, makes
Topic 765 (0.00): subordinate, superior, subordinates, inferior, transaction, authority, coaching, adult, manager, person
Topic 33 (0.00): ordinary, conservatism, extraordinary, conservative, conservatives, ideological, ordinariness, speaker, ideology, identity
Topic 879 (0.00): apple, mac, pie, echo, parry, native, macs, code, time, translation
Topic 1329 (0.00): sixth, seventh, fourth, eighth, ninth, time, tenth, form, missing, reason
Topic 282 (0.00): burns, mauve, decided, time, incident, trusted, advice, insisted, solution, act
